Name,Season,Bats,MLB,Age,WAR,G,PA,key_MLB,year,AB,H,D,T,HR,K,BB,Kpct,BBpct,AVG,SLG,OBP,OPS,BABIP,RBI,CS,SB,Balls,CStrikes,GDP,HBP,IBB,SH,SF,R,Strikes,XAVG,XSLG,WOBA,XWOBA,XOBP,barrelpct,solidpct,flareburnpct,Pitches,whiffpct,battedballs,RC,RC27,O,ICR,whiff,barrel,solid,flareburn,KminusBB,strICR,key_FG,Def,Off,BsR,wRC+,Last_First,Pos,Name2,RJML,SSBL,CJPL
Orelvis Martinez,2024,R,TOR,22,-0.0678,1,3,682619,2024,3,1,0,0,0,1,0,33.3,0.0,0.333,0.333,0.333,0.666,0.5,0,0,0,3,2,0,0,0,0,0,0,8,0.302,0.344,0.294,0.285,0.302,0.0,0.0,50.0,11,50.0,2,0.333,4.5,1,50.0,6.0,0.0,0.0,1.0,33.3,0.545,25967,-0.6786,-0.0778,-0.0499,91.8757,"Martinez, Orelvis",,Orelvis Martinez,avail,rook,rook
Yuli Gurriel,2024,R,KCR,40,-0.0716,18,65,493329,2024,54,13,3,0,0,15,9,23.1,13.8,0.241,0.296,0.338,0.634,0.317,6,0,1,101,55,1,0,0,0,2,7,176,0.257,0.339,0.289,0.322,0.364,2.4,2.4,39.0,281,22.3,41,6.429,3.9,38,43.8,63.0,1.0,1.0,16.0,9.3,0.499,19198,-1.6472,-1.2126,0.0826,82.5837,"Gurriel Jr., Yuli",3.0,Yuli Gurriel,HVH,avail,avail
Bryce Johnson,2024,B,SDP,28,-0.0723,47,73,669369,2024,63,13,2,0,0,12,7,16.4,9.6,0.206,0.238,0.286,0.524,0.255,4,1,1,93,35,1,0,0,3,0,9,166,0.253,0.303,0.243,0.287,0.328,0.0,0.0,24.1,263,18.3,54,4.66,2.3,37,24.1,48.0,0.0,0.0,13.0,6.799999999999999,0.532,20002,0.8645,-3.9954,-0.2504,57.0998,"Johnson, Bryce",987.0,Bryce Johnson#,avail,IR,avail
David Villar,2024,R,SFG,27,-0.0743,11,37,681584,2024,35,9,4,0,1,13,1,35.1,2.7,0.257,0.457,0.27,0.727,0.364,4,0,0,42,29,0,0,0,0,1,3,90,0.228,0.44,0.305,0.323,0.266,13.0,13.0,21.7,136,34.4,23,4.535,4.5,23,47.7,47.0,3.0,3.0,5.0,32.4,0.5,24782,-1.5584,-0.3925,-0.2546,96.8822,"Villar, David",3.0,David Villar,avail,avail,avail
Tyler Black,2024,L,MIL,23,-0.0746,18,57,672012,2024,49,10,2,0,0,17,7,29.8,12.3,0.204,0.245,0.316,0.561,0.313,2,0,3,87,44,0,1,0,0,0,4,147,0.185,0.225,0.265,0.25,0.299,0.0,3.1,25.0,239,24.3,32,4.939,3.4,29,28.1,58.0,0.0,1.0,8.0,17.5,0.54,29949,-1.0008,-1.6197,0.584,67.6703,"Black, Tyler",3.0,Tyler Black*,avail,rook,rook
Tommy Pham,2024,R,- - -,36,-0.0747,116,478,502054,2024,440,109,20,3,9,106,35,22.2,7.3,0.248,0.368,0.305,0.673,0.307,39,3,7,681,415,5,2,0,0,1,49,1194,0.267,0.417,0.297,0.323,0.323,7.2,7.8,26.3,1923,22.5,335,50.748,4.0,277,41.3,433.0,24.0,26.0,88.0,14.9,0.477,2967,-8.475,-8.178,-3.1316,90.8901,"Pham, Tommy",978.0,Tommy Pham,WHI,WAU,WWL
Vinny Capra,2024,R,MIL,27,-0.075,3,9,681962,2024,9,1,1,0,0,3,0,33.3,0.0,0.111,0.222,0.111,0.333,0.167,0,0,0,6,7,1,0,0,0,0,1,25,0.053,0.075,0.139,0.055,0.053,0.0,0.0,0.0,32,33.3,6,0.0,0.0,2,0.0,11.0,0.0,0.0,0.0,33.3,0.781,25040,0.0349,-1.0605,0.1976,-16.8963,"Capra, Vinny",5.0,Vinny Capra,avail,avail,avail
Anthony Rendon,2024,R,LAA,34,-0.0784,57,238,543685,2024,206,45,10,0,0,35,23,14.7,9.7,0.218,0.267,0.307,0.574,0.257,14,1,6,340,222,4,5,0,0,4,21,614,0.225,0.321,0.264,0.289,0.315,2.3,8.6,23.4,977,12.5,175,19.28,3.1,119,34.3,122.0,4.0,15.0,41.0,5.0,0.506,12861,-1.1145,-7.5772,1.1941,67.7886,"Rendon, Anthony",5.0,Anthony Rendon,HAR,SLB,avail
Ryan McKenna,2024,R,- - -,27,-0.0795,13,15,663630,2024,14,3,0,0,2,5,1,33.3,6.7,0.214,0.643,0.267,0.91,0.143,2,1,1,19,6,0,0,0,0,0,4,33,0.169,0.383,0.378,0.26,0.224,22.2,0.0,11.1,52,18.5,9,1.956,4.4,14,33.3,10.0,2.0,0.0,1.0,26.6,0.519,19928,-2.1074,0.838,-0.0311,157.7534,"McKenna, Ryan",987.0,Ryan McKenna,RAC,avail,avail
Liover Peguero,2024,R,PIT,23,-0.0827,3,10,678894,2024,10,2,1,0,0,3,0,30.0,0.0,0.2,0.3,0.2,0.5,0.286,2,0,0,12,7,0,0,0,0,0,0,32,0.263,0.337,0.214,0.261,0.263,0.0,14.3,28.6,46,40.0,7,0.6,2.0,5,42.9,18.0,0.0,1.0,2.0,30.0,0.565,24273,-0.2989,-0.8348,-0.0079,30.8517,"Peguero, Liover",6.0,Liover Peguero,BRA,MVR,FMB
