Name,Season,Bats,MLB,Age,WAR,G,PA,key_MLB,year,AB,H,D,T,HR,K,BB,Kpct,BBpct,AVG,SLG,OBP,OPS,BABIP,RBI,CS,SB,Balls,CStrikes,GDP,HBP,IBB,SH,SF,R,Strikes,XAVG,XSLG,WOBA,XWOBA,XOBP,barrelpct,solidpct,flareburnpct,Pitches,whiffpct,battedballs,RC,RC27,O,ICR,whiff,barrel,solid,flareburn,KminusBB,strICR,key_FG,Def,Off,BsR,wRC+,Last_First,Pos,Name2,RJML,SSBL,CJPL
Edmundo Sosa,2024,R,PHI,28,1.9149,90,274,624641,2024,249,64,12,4,7,66,13,24.1,4.7,0.257,0.422,0.313,0.735,0.32,31,1,7,299,123,5,8,0,1,2,39,719,0.247,0.398,0.318,0.309,0.305,8.6,4.3,25.8,1050,31.4,186,33.469,4.7,191,38.7,330.0,16.0,8.0,48.0,19.4,0.548,17022,6.6059,2.8121,1.6856,103.4382,"Sosa, Edmundo",645.0,Edmundo Sosa,STE,OCS,ANG
Spencer Horwitz,2024,L,TOR,26,1.8791,97,381,687462,2024,328,87,19,0,12,70,42,18.4,11.0,0.265,0.433,0.357,0.79,0.3,40,0,0,536,281,8,7,2,0,4,46,1009,0.254,0.423,0.344,0.337,0.349,8.0,8.4,26.3,1582,19.4,262,52.51,5.6,257,42.7,307.0,21.0,22.0,69.0,7.399999999999999,0.496,26477,-2.6851,8.1797,-3.6702,127.1839,"Horwitz, Spencer",34.0,Spencer Horwitz*,GRF,NB,FMB
Freddy Fermin,2024,R,KCR,29,1.8747,111,368,666023,2024,339,92,14,0,6,66,23,17.9,6.3,0.271,0.366,0.319,0.685,0.319,36,0,2,468,206,10,2,1,1,3,40,937,0.24,0.333,0.3,0.276,0.291,3.2,4.0,27.1,1434,23.0,277,38.776,4.0,212,34.3,330.0,9.0,11.0,75.0,11.599999999999998,0.521,21840,10.2864,-4.4008,-0.4536,90.6251,"Fermin, Freddy",2.0,Freddy Fermin,RAC,VM,WAW
Jose Siri,2024,R,TBR,28,1.8727,130,448,642350,2024,402,75,16,1,18,170,31,37.9,6.9,0.187,0.366,0.255,0.621,0.261,47,7,14,541,297,5,7,0,2,4,50,1207,0.206,0.42,0.271,0.3,0.274,14.7,8.8,18.1,1788,41.6,238,37.882,3.0,268,41.6,744.0,35.0,21.0,43.0,31.0,0.564,17452,12.7754,-9.5763,1.5401,78.3126,"Siri, Jose",8.0,Jose Siri,STE,VM,SEA
CJ Abrams,2024,L,WSN,23,1.8682,138,602,682928,2024,541,133,29,6,20,128,40,21.3,6.6,0.246,0.433,0.314,0.747,0.285,65,12,31,676,313,4,16,3,1,4,79,1517,0.252,0.418,0.322,0.323,0.321,6.9,9.6,24.4,2261,24.7,418,76.586,4.8,430,40.9,558.0,29.0,40.0,102.0,14.7,0.52,25768,-8.5597,6.6044,1.6241,106.9182,"Abrams, CJ",6.0,CJ Abrams*,ALA,SLB,TBT
Bryson Stott,2024,L,PHI,26,1.8586,148,571,681082,2024,506,124,19,2,11,93,53,16.3,9.3,0.245,0.356,0.315,0.671,0.275,57,3,32,766,485,9,3,1,0,9,65,1503,0.258,0.37,0.296,0.309,0.329,3.6,5.2,27.3,2307,16.9,422,63.44,4.3,367,36.1,390.0,15.0,22.0,115.0,7.0,0.519,26294,2.4123,-3.4288,4.5998,88.242,"Stott, Bryson",46.0,Bryson Stott*,RAC,SR,GDJ
Garrett Mitchell,2024,L,MIL,25,1.8384,69,224,669003,2024,196,50,12,3,8,71,25,31.7,11.2,0.255,0.469,0.342,0.811,0.359,21,4,11,326,145,1,1,0,2,0,33,541,0.233,0.38,0.351,0.312,0.324,8.7,6.3,24.4,891,34.3,127,33.446,5.9,172,39.4,306.0,11.0,8.0,31.0,20.5,0.495,27555,1.2761,9.0654,2.1831,125.6927,"Mitchell, Garrett",89.0,Garrett Mitchell*,HAR,WAU,WAW
Travis d'Arnaud,2024,R,ATL,35,1.8246,98,341,518595,2024,307,73,16,0,15,89,24,26.1,7.0,0.238,0.436,0.302,0.738,0.28,48,0,1,433,181,8,6,0,0,4,39,854,0.235,0.438,0.319,0.323,0.304,10.4,7.2,22.1,1353,32.8,222,40.229,4.4,229,39.7,444.0,23.0,16.0,49.0,19.1,0.501,7739,6.5978,-0.1189,-1.1994,102.6892,"d'Arnaud, Travis",2.0,Travis d'Arnaud,HOM,NB,JFS
Colt Keith,2024,L,DET,22,1.8028,148,556,690993,2024,516,134,15,4,13,110,36,19.8,6.5,0.26,0.38,0.309,0.689,0.306,61,1,7,651,343,4,2,2,0,2,54,1326,0.269,0.401,0.301,0.313,0.319,5.6,5.1,29.4,2022,23.2,408,63.088,4.4,338,40.1,469.0,23.0,21.0,120.0,13.3,0.494,27899,0.879,-1.9562,0.2392,96.5489,"Keith, Colt",4.0,Colt Keith*,avail,rook,rook
Carson Kelly,2024,R,- - -,29,1.7894,91,313,608348,2024,281,67,9,1,9,55,25,17.6,8.0,0.238,0.374,0.313,0.687,0.266,37,0,0,386,212,6,6,0,0,1,32,746,0.237,0.412,0.304,0.317,0.313,6.6,7.9,22.5,1173,22.8,227,33.385,4.1,190,37.0,267.0,15.0,18.0,51.0,9.6,0.493,13620,10.438,-3.5451,-3.0123,98.512,"Kelly, Carson",2.0,Carson Kelly,CAM,PP,NYZ
Gleyber Torres,2024,R,NYY,27,1.7355,154,665,650402,2024,587,151,26,0,15,136,65,20.5,9.8,0.257,0.378,0.33,0.708,0.306,63,3,4,998,464,6,3,0,2,8,80,1754,0.242,0.379,0.313,0.31,0.319,6.3,6.1,26.5,2821,22.9,461,77.987,4.6,415,38.9,646.0,29.0,28.0,122.0,10.7,0.495,16997,-3.7286,-1.6329,-4.467,103.7249,"Torres, Gleyber",4.0,Gleyber Torres,BRA,TBD,MMA
David Fry,2024,R,CLE,28,1.7245,122,392,681807,2024,335,88,18,1,14,84,42,21.4,10.7,0.263,0.448,0.356,0.804,0.307,51,1,4,493,231,13,9,4,0,4,44,977,0.248,0.405,0.347,0.328,0.346,7.5,6.3,29.0,1515,24.8,255,53.327,5.4,272,42.8,376.0,19.0,16.0,74.0,10.7,0.501,24934,-8.2058,11.8369,-1.2943,129.2779,"Fry, David",3279.0,David Fry,CAM,SB,avail
Paul DeJong,2024,R,- - -,30,1.7183,139,482,657557,2024,445,101,17,0,24,156,23,32.4,4.8,0.227,0.427,0.276,0.703,0.285,56,2,2,537,194,9,9,0,0,5,54,1268,0.22,0.403,0.302,0.293,0.272,10.2,8.5,23.8,1851,34.9,294,51.119,3.8,299,42.5,646.0,30.0,25.0,70.0,27.6,0.55,18015,5.7177,-5.1467,-2.3935,95.0077,"DeJong, Paul",65.0,Paul DeJong,RM,SR,LWC
Lars Nootbaar,2024,L,STL,26,1.7123,109,405,663457,2024,348,85,18,3,12,79,52,19.5,12.8,0.244,0.417,0.342,0.759,0.281,45,3,7,606,394,10,1,2,1,3,39,1011,0.268,0.468,0.331,0.358,0.362,9.9,8.1,22.7,1659,19.0,273,50.611,4.9,265,40.7,315.0,27.0,22.0,62.0,6.699999999999999,0.475,21454,-4.5713,7.6659,1.0022,113.7592,"Nootbaar, Lars",978.0,Lars Nootbaar*,GNB,SLB,STL
Ryan O'Hearn,2024,L,BAL,30,1.6896,142,494,656811,2024,443,117,21,3,15,69,46,14.0,9.3,0.264,0.427,0.334,0.761,0.282,59,1,3,677,308,7,2,2,0,3,60,1205,0.28,0.467,0.33,0.352,0.35,6.9,9.3,23.1,1920,18.1,377,64.859,5.2,336,39.3,348.0,26.0,35.0,87.0,4.699999999999999,0.473,16442,-10.3688,10.2624,-0.2457,118.5916,"O'Hearn, Ryan",397.0,Ryan O'Hearn*,RAM,TT,ILK
Ryan Jeffers,2024,R,MIN,27,1.6672,122,465,680777,2024,412,93,22,0,21,94,32,20.2,6.9,0.226,0.432,0.3,0.732,0.238,64,0,3,549,318,9,14,0,1,6,56,1194,0.227,0.394,0.317,0.305,0.303,8.3,5.8,21.8,1807,23.6,325,54.561,4.4,318,35.9,426.0,27.0,19.0,71.0,13.3,0.532,24618,-2.3578,3.0011,-0.7794,107.1058,"Jeffers, Ryan",2.0,Ryan Jeffers,HAR,IR,WAW
David Hamilton,2024,L,BOS,26,1.6528,98,317,666152,2024,294,73,17,1,8,80,22,25.2,6.9,0.248,0.395,0.303,0.698,0.316,28,4,33,391,223,1,1,0,0,0,47,769,0.235,0.356,0.305,0.285,0.291,5.6,7.5,25.2,1190,25.3,214,39.942,4.8,234,38.3,301.0,12.0,16.0,54.0,18.299999999999997,0.508,27531,2.0335,3.4032,6.1508,92.4246,"Hamilton, David",64.0,David Hamilton*,avail,avail,avail
Jose Trevino,2024,R,NYY,31,1.6134,73,234,624431,2024,209,45,5,0,8,41,20,17.5,8.5,0.215,0.354,0.288,0.642,0.228,28,0,1,299,207,12,2,0,1,2,26,570,0.205,0.319,0.284,0.269,0.28,5.3,3.5,20.5,896,18.5,171,19.226,2.9,132,29.3,166.0,9.0,6.0,35.0,9.0,0.524,16725,13.153,-5.331,-0.8755,83.3582,"Trevino, Jose",2.0,Jose Trevino,STE,avail,WWL
Bo Naylor,2024,L,CLE,24,1.6038,123,389,666310,2024,354,71,10,2,13,122,29,31.4,7.5,0.201,0.35,0.264,0.614,0.262,39,3,6,555,276,3,2,1,2,2,39,1037,0.198,0.335,0.269,0.262,0.262,8.1,6.8,21.6,1624,28.3,236,33.81,3.1,222,36.5,460.0,19.0,16.0,51.0,23.9,0.532,21865,15.1174,-12.5545,-0.9572,73.9428,"Naylor, Bo",2.0,Bo Naylor*,HOM,SIP,STL
J.P. Crawford,2024,L,SEA,29,1.6004,105,451,641487,2024,392,79,16,2,9,102,52,22.6,11.5,0.202,0.321,0.304,0.625,0.248,37,0,5,706,384,4,6,0,0,1,55,1170,0.23,0.369,0.283,0.312,0.329,6.5,6.5,24.1,1911,20.2,291,42.525,3.6,268,37.1,386.0,19.0,19.0,70.0,11.1,0.499,15491,4.5347,-4.0722,1.4257,89.3454,"Crawford, J.P.",6.0,J.P. Crawford*,HOM,MVR,NYZ
Blake Perkins,2024,B,MIL,27,1.5952,121,434,663368,2024,383,92,13,2,6,108,42,24.9,9.7,0.24,0.332,0.316,0.648,0.313,43,5,23,580,380,3,3,1,0,6,54,1115,0.224,0.323,0.288,0.282,0.303,3.9,6.0,23.5,1734,26.8,281,45.632,4.0,278,33.4,465.0,11.0,17.0,66.0,15.2,0.535,19921,7.2459,-6.2508,2.4254,83.2825,"Perkins, Blake",8.0,Blake Perkins#,STE,avail,avail
Mike Yastrzemski,2024,L,SFG,33,1.5524,140,474,573262,2024,428,99,16,9,18,124,38,26.2,8.0,0.231,0.437,0.302,0.739,0.282,57,2,3,699,355,5,6,1,1,1,60,1217,0.222,0.406,0.319,0.304,0.294,10.5,6.5,22.2,1955,26.1,306,57.608,4.6,327,39.2,510.0,32.0,20.0,68.0,18.2,0.5,14854,-6.1129,5.3617,1.8518,106.1921,"Yastrzemski, Mike",98.0,Mike Yastrzemski*,WHI,SR,ILK
Sal Frelick,2024,L,MIL,24,1.552,145,524,686217,2024,475,123,22,4,2,78,39,14.9,7.4,0.259,0.335,0.32,0.655,0.306,32,3,18,671,464,8,4,0,2,1,66,1314,0.248,0.306,0.292,0.277,0.31,0.8,3.5,24.8,2046,12.8,400,53.878,4.0,307,29.1,262.0,3.0,14.0,99.0,7.5,0.528,29622,3.1945,-5.6141,3.2467,85.8592,"Frelick, Sal",978.0,Sal Frelick*,GRF,VM,WAW
Kyle Higashioka,2024,R,SDP,34,1.5481,84,263,543309,2024,246,54,10,1,17,74,15,28.1,5.7,0.22,0.476,0.263,0.739,0.237,45,0,2,336,206,3,0,0,1,1,29,699,0.222,0.44,0.314,0.301,0.266,10.9,9.2,20.1,1062,25.2,174,30.862,4.2,189,40.2,268.0,19.0,16.0,35.0,22.4,0.526,5517,5.9449,0.2873,-1.1611,104.6052,"Higashioka, Kyle",2.0,Kyle Higashioka,DAY,CW,LWC
Randal Grichuk,2024,R,ARI,32,1.5359,106,279,545341,2024,254,74,20,2,12,46,20,16.5,7.2,0.291,0.528,0.348,0.876,0.313,46,0,0,358,175,5,3,0,0,2,40,690,0.285,0.505,0.373,0.368,0.345,11.0,7.6,23.3,1088,20.4,210,46.501,6.7,226,41.9,222.0,23.0,16.0,49.0,9.3,0.472,10243,-7.9567,13.538,0.4932,139.0988,"Grichuk, Randal",97.0,Randal Grichuk,CK,SR,ILK
Gavin Lux,2024,L,LAD,26,1.529,139,487,666158,2024,439,110,24,2,10,110,44,22.6,9.0,0.251,0.383,0.32,0.703,0.312,50,2,5,673,341,8,2,0,0,2,59,1215,0.262,0.393,0.31,0.32,0.333,6.0,7.3,29.0,1939,23.3,331,55.042,4.4,308,42.3,452.0,20.0,24.0,96.0,13.6,0.482,19955,-2.0853,0.6747,0.8136,99.7614,"Lux, Gavin",4.0,Gavin Lux*,PR,MVR,MBL
Michael Massey,2024,L,KCR,26,1.504,100,356,686681,2024,332,86,17,2,14,56,15,15.7,4.2,0.259,0.449,0.294,0.743,0.271,45,0,1,396,220,9,3,1,2,4,45,912,0.262,0.423,0.317,0.312,0.3,7.1,7.1,24.8,1330,17.9,282,41.912,4.3,237,39.0,238.0,20.0,20.0,70.0,11.5,0.52,27684,1.4015,1.2949,0.4868,101.9839,"Massey, Michael",4.0,Michael Massey*,GH,WAU,MBL
Ryan Mountcastle,2024,R,BAL,27,1.4877,124,507,663624,2024,473,128,30,2,13,114,27,22.5,5.3,0.271,0.425,0.308,0.733,0.327,63,0,3,558,236,13,1,0,0,6,54,1303,0.275,0.455,0.316,0.335,0.316,8.8,7.9,25.8,1901,25.1,365,60.066,4.5,323,42.5,477.0,32.0,29.0,94.0,17.2,0.522,18373,-6.5647,4.0701,-0.7771,108.3561,"Mountcastle, Ryan",3.0,Ryan Mountcastle,PR,SSF,SEA
Trevor Larnach,2024,L,MIN,27,1.4837,112,400,663616,2024,355,92,17,0,15,89,40,22.3,10.0,0.259,0.434,0.338,0.772,0.304,52,1,4,566,276,12,3,1,0,2,59,971,0.266,0.476,0.336,0.352,0.344,10.1,8.6,23.9,1576,27.9,268,51.252,5.0,284,42.6,440.0,27.0,23.0,64.0,12.3,0.471,21501,-6.7267,7.76,-1.7227,120.7202,"Larnach, Trevor",79.0,Trevor Larnach*,VAN,avail,TBT
Vinnie Pasquantino,2024,L,KCR,26,1.4727,131,554,686469,2024,496,130,30,2,19,71,40,12.8,7.2,0.262,0.446,0.315,0.761,0.265,97,0,1,704,354,12,4,1,1,13,64,1374,0.266,0.443,0.325,0.331,0.323,7.1,8.9,23.2,2133,14.5,439,70.175,4.8,397,39.2,309.0,31.0,39.0,102.0,5.6000000000000005,0.483,27676,-7.6048,3.3983,-1.4434,107.6384,"Pasquantino, Vinnie",3.0,Vinnie Pasquantino*,VAN,KR,BAB
Kyle Isbel,2024,L,KCR,27,1.4561,136,426,664728,2024,384,88,13,8,8,88,27,20.7,6.3,0.229,0.367,0.287,0.654,0.276,42,2,11,508,313,4,5,0,8,2,62,1042,0.235,0.336,0.286,0.281,0.294,3.9,3.6,24.8,1582,19.3,306,42.881,3.7,282,32.3,305.0,12.0,11.0,76.0,14.4,0.534,21614,5.2689,-5.3699,4.0492,80.6749,"Isbel, Kyle",8.0,Kyle Isbel*,VAN,avail,STL
Luis Rengifo,2024,B,LAA,27,1.4452,78,304,650859,2024,283,85,13,1,6,44,16,14.5,5.3,0.3,0.417,0.347,0.764,0.339,30,7,24,345,110,6,4,0,1,0,41,720,0.261,0.353,0.335,0.293,0.31,2.5,5.0,28.7,1084,22.3,240,41.218,5.2,215,36.2,242.0,6.0,12.0,69.0,9.2,0.504,19858,-4.1579,8.0176,1.9471,117.453,"Rengifo, Luis",546.0,Luis Rengifo#,GRF,NB,WWL
Harrison Bader,2024,R,NYM,30,1.4342,141,437,664056,2024,402,95,19,0,12,95,21,21.7,4.8,0.236,0.373,0.284,0.657,0.276,51,8,17,492,325,6,8,1,0,6,57,1080,0.245,0.383,0.285,0.296,0.295,6.4,4.5,24.6,1647,24.5,313,42.6,3.5,278,35.5,404.0,20.0,14.0,77.0,16.9,0.521,18030,7.646,-8.1433,-1.6605,87.4511,"Bader, Harrison",8.0,Harrison Bader,WHI,PP,WWL
Zack Gelof,2024,R,OAK,24,1.419,138,547,680869,2024,497,105,20,2,17,188,38,34.4,6.9,0.211,0.362,0.27,0.632,0.296,49,3,25,645,303,7,4,0,3,5,60,1361,0.202,0.353,0.276,0.273,0.265,8.8,6.3,22.4,2055,36.4,317,52.115,3.4,332,37.5,748.0,28.0,20.0,71.0,27.5,0.547,29766,2.4712,-6.9643,4.176,82.1996,"Gelof, Zack",4.0,Zack Gelof,HAR,WC,OBS
LaMonte Wade Jr.,2024,L,SFG,30,1.404,117,401,664774,2024,331,86,16,0,8,90,62,22.4,15.5,0.26,0.381,0.38,0.761,0.331,34,1,2,628,305,2,4,5,1,3,45,975,0.26,0.436,0.337,0.357,0.382,9.4,9.0,28.2,1639,24.2,245,53.87,5.8,263,46.6,397.0,23.0,22.0,69.0,6.899999999999999,0.456,18126,-6.7806,7.0226,-1.9717,118.7565,"Wade Jr., LaMonte",397.0,LaMonte Wade Jr.*,RM,SLB,OCG
Kevin Newman,2024,R,ARI,30,1.3996,111,311,621028,2024,288,80,17,1,3,48,15,15.4,4.8,0.278,0.375,0.311,0.686,0.322,28,1,8,319,197,7,0,1,6,2,41,723,0.257,0.326,0.298,0.272,0.293,1.6,1.6,30.2,1070,17.1,248,33.558,4.0,195,33.4,183.0,4.0,4.0,75.0,10.6,0.521,17696,6.4197,-3.2236,0.9004,88.9111,"Newman, Kevin",6435.0,Kevin Newman,CK,CB,WWL
Jesus Sanchez,2024,L,MIA,26,1.3908,149,537,660821,2024,489,123,25,1,18,140,41,26.1,7.6,0.252,0.417,0.313,0.73,0.315,64,2,16,618,259,12,4,2,1,2,60,1319,0.267,0.478,0.317,0.345,0.328,12.2,7.1,23.6,1991,31.2,352,64.542,4.5,358,42.9,621.0,43.0,25.0,83.0,18.5,0.511,19913,-5.3172,0.9034,0.6645,100.372,"Sánchez, Jesús",97.0,Jesus Sanchez*,SV,MVR,ANG
Ben Rortvedt,2024,L,TBR,26,1.3875,112,328,666163,2024,290,66,13,0,3,88,34,26.8,10.4,0.228,0.303,0.317,0.62,0.317,31,0,1,473,269,6,4,0,0,0,27,853,0.204,0.291,0.283,0.268,0.296,3.5,3.0,27.2,1357,26.7,202,29.4,3.5,176,33.7,362.0,7.0,6.0,55.0,16.4,0.528,20287,8.4701,-5.9684,-1.0788,86.9708,"Rortvedt, Ben",2.0,Ben Rortvedt*,avail,avail,avail
Yasmani Grandal,2024,B,PIT,35,1.3646,72,243,518735,2024,215,49,10,0,9,46,24,18.9,9.9,0.228,0.4,0.304,0.704,0.248,27,0,1,327,220,7,0,0,3,1,26,609,0.246,0.428,0.308,0.327,0.322,9.8,6.4,24.9,952,20.1,173,25.759,3.9,151,41.1,191.0,17.0,11.0,43.0,8.999999999999998,0.49,11368,7.77,-2.6482,-1.0644,94.5497,"Grandal, Yasmani",2.0,Yasmani Grandal#,HVH,avail,LWC
Jake Burger,2024,R,MIA,28,1.3627,137,579,669394,2024,535,134,23,1,29,150,31,25.9,5.4,0.25,0.46,0.301,0.761,0.292,76,1,1,615,317,11,9,2,0,4,68,1407,0.258,0.482,0.325,0.337,0.309,12.3,7.7,23.7,2081,30.1,389,72.321,4.7,390,43.7,626.0,48.0,30.0,92.0,20.5,0.513,22275,-9.6238,3.5392,-0.6603,106.0653,"Burger, Jake",53.0,Jake Burger,TB,KR,FMB
Nick Gonzales,2024,R,PIT,25,1.3541,94,387,693304,2024,359,97,19,3,7,74,18,19.1,4.7,0.27,0.398,0.311,0.709,0.319,49,3,5,421,149,8,5,1,1,4,42,919,0.274,0.412,0.307,0.319,0.317,7.9,4.5,26.9,1371,24.9,290,43.352,4.2,245,39.3,341.0,23.0,13.0,78.0,14.400000000000002,0.504,27490,2.9244,-2.6986,0.1915,93.7549,"Gonzales, Nick",465.0,Nick Gonzales,WHI,VM,TBT
Richie Palacios,2024,L,TBR,27,1.348,92,316,680700,2024,264,59,8,1,5,67,45,21.2,14.2,0.223,0.318,0.346,0.664,0.28,21,1,19,479,177,5,5,2,0,1,46,775,0.249,0.343,0.303,0.324,0.369,3.5,4.5,29.3,1281,24.7,198,34.948,4.5,209,37.3,316.0,7.0,9.0,58.0,7.0,0.49,24589,-0.8595,3.3786,3.07,100.8536,"Palacios, Richie",4975.0,Richie Palacios*,HAL,avail,TBT
Lane Thomas,2024,R,- - -,28,1.3403,130,528,657041,2024,472,112,26,3,15,137,44,25.9,8.3,0.237,0.4,0.309,0.709,0.298,63,14,32,710,409,5,7,1,0,5,65,1319,0.246,0.383,0.309,0.31,0.318,7.4,7.1,27.9,2080,23.3,340,60.338,4.2,366,42.4,485.0,25.0,24.0,95.0,17.599999999999998,0.496,16939,-8.1668,3.5568,3.9482,99.1382,"Thomas, Lane",98.0,Lane Thomas,SV,CW,ANG
Andy Pages,2024,R,LAD,23,1.3309,116,443,681624,2024,403,100,23,1,13,108,29,24.4,6.5,0.248,0.407,0.305,0.712,0.304,46,2,1,556,250,8,6,0,0,4,65,1127,0.254,0.433,0.31,0.326,0.314,10.7,6.4,26.1,1719,26.1,299,49.689,4.2,288,43.2,449.0,32.0,19.0,78.0,17.9,0.505,24816,-1.2969,-0.5671,-0.5077,99.8878,"Pages, Andy",897.0,Andy Pages,,,
Joey Bart,2024,R,PIT,27,1.3276,80,282,663698,2024,253,67,11,0,13,73,22,25.9,7.8,0.265,0.462,0.337,0.799,0.321,45,0,0,386,219,8,6,0,0,1,38,711,0.249,0.444,0.347,0.333,0.324,9.4,3.3,29.8,1127,26.2,181,38.502,5.3,207,42.5,295.0,17.0,6.0,54.0,18.1,0.494,21524,-2.0001,5.4648,-1.4793,120.5918,"Bart, Joey",2.0,Joey Bart,RM,TBD,avail
Max Schuemann,2024,R,OAK,27,1.3255,133,459,680474,2024,396,87,14,0,7,119,47,25.9,10.2,0.22,0.308,0.311,0.619,0.292,34,1,14,650,363,8,7,0,5,4,55,1143,0.224,0.344,0.281,0.297,0.317,5.6,7.0,24.8,1835,28.1,286,42.562,3.5,268,37.4,516.0,16.0,20.0,71.0,15.7,0.506,24488,2.951,-5.4163,2.2735,85.3573,"Schuemann, Max",65478.0,Max Schuemann,avail,rook,rook
Jeff McNeil,2024,L,NYM,32,1.2947,129,472,643446,2024,424,101,26,0,12,68,35,14.4,7.4,0.238,0.384,0.308,0.692,0.256,44,1,5,521,190,6,9,1,1,3,57,1138,0.237,0.34,0.304,0.289,0.309,3.1,6.1,25.3,1711,17.4,360,52.294,4.2,295,34.5,298.0,11.0,22.0,91.0,7.0,0.52,15362,0.1803,-3.3604,-1.9438,97.4903,"McNeil, Jeff",497.0,Jeff McNeil*,DAY,KR,GAP
Spencer Steer,2024,R,CIN,26,1.2785,158,656,668715,2024,574,129,34,4,20,137,72,20.9,11.0,0.225,0.402,0.319,0.721,0.26,92,3,25,913,466,5,8,1,0,2,74,1633,0.237,0.387,0.316,0.317,0.33,6.4,7.7,23.7,2621,23.1,439,81.374,4.8,474,37.8,605.0,28.0,34.0,104.0,9.9,0.496,26323,-11.0288,1.5656,4.5488,96.1972,"Steer, Spencer",7349.0,Spencer Steer,GNB,IR,MBL
Michael Conforto,2024,L,SFG,31,1.2688,130,488,624424,2024,438,104,27,3,20,118,42,24.2,8.6,0.237,0.45,0.309,0.759,0.277,66,1,0,673,359,16,5,1,0,3,56,1240,0.258,0.488,0.327,0.352,0.33,11.8,9.0,23.2,1965,25.2,323,57.807,4.4,329,44.0,495.0,38.0,29.0,75.0,15.6,0.486,16376,-8.9093,4.9455,-1.7728,111.5126,"Conforto, Michael",7.0,Michael Conforto*,GH,SB,WAW
Jesse Winker,2024,L,- - -,30,1.2562,145,508,608385,2024,430,109,23,0,14,106,63,20.9,12.4,0.253,0.405,0.36,0.765,0.304,58,4,14,776,354,12,10,2,2,3,63,1245,0.245,0.388,0.338,0.329,0.353,7.6,3.3,28.3,2063,19.6,329,66.119,5.2,354,39.2,404.0,25.0,11.0,93.0,8.499999999999998,0.478,13590,-13.0309,8.2798,-2.8204,118.2725,"Winker, Jesse",79.0,Jesse Winker*,CK,TT,avail
James Wood,2024,L,WSN,21,1.2383,79,336,695578,2024,295,78,13,4,9,97,39,28.9,11.6,0.264,0.427,0.354,0.781,0.365,41,8,14,513,316,1,2,1,0,0,43,853,0.271,0.444,0.342,0.351,0.36,10.6,6.1,30.3,1404,29.6,198,47.038,5.6,247,47.0,416.0,21.0,12.0,60.0,17.299999999999997,0.475,29518,-7.7003,8.5029,0.3656,120.2521,"Wood, James",7.0,James Wood*,avail,rook,rook
Rob Refsnyder,2024,R,BOS,33,1.2204,93,307,608701,2024,272,77,16,1,11,78,28,25.4,9.1,0.283,0.471,0.359,0.83,0.359,40,2,2,398,214,6,5,2,0,1,32,769,0.256,0.421,0.358,0.328,0.335,9.7,4.6,27.7,1202,28.1,195,45.873,6.1,216,42.0,338.0,19.0,9.0,54.0,16.299999999999997,0.503,13770,-7.7829,9.3666,-1.187,130.0459,"Refsnyder, Rob",79.0,Rob Refsnyder,RAM,IR,TBT
George Springer,2024,R,TOR,34,1.1924,145,614,543807,2024,545,120,19,3,19,115,60,18.7,9.8,0.22,0.371,0.303,0.674,0.245,56,1,16,784,334,16,6,0,0,2,74,1465,0.247,0.412,0.298,0.324,0.328,9.3,4.4,21.5,2304,25.3,432,63.001,3.8,378,35.2,583.0,40.0,19.0,93.0,8.899999999999999,0.504,12856,-8.8724,-0.0483,3.4757,94.9836,"Springer III, George",98.0,George Springer,CC,TT,FMB
Justin Turner,2024,R,- - -,39,1.178,139,539,457759,2024,460,119,24,0,11,95,59,17.6,10.9,0.259,0.383,0.354,0.737,0.299,55,2,0,820,404,16,13,2,0,7,59,1458,0.254,0.389,0.327,0.33,0.353,4.6,6.7,29.6,2320,17.0,372,63.5,4.7,333,40.9,394.0,17.0,25.0,110.0,6.700000000000001,0.497,5235,-12.3171,5.7573,-4.5036,116.6385,"Turner, Justin",35.0,Justin Turner,CC,ECB,GAP
Alex Call,2024,R,WSN,29,1.1668,30,113,669743,2024,99,34,9,0,3,19,12,16.8,10.6,0.343,0.525,0.425,0.95,0.403,14,1,5,173,94,2,2,0,0,0,15,307,0.25,0.375,0.412,0.32,0.343,5.0,6.3,27.5,493,18.8,80,23.193,9.2,94,38.8,93.0,4.0,5.0,22.0,6.200000000000001,0.497,19296,-1.9238,9.4587,0.3689,167.2682,"Call, Alex",98.0,Alex Call,DAY,avail,LWC
Johan Rojas,2024,R,PHI,23,1.1653,120,363,679032,2024,338,82,12,3,3,69,13,19.0,3.6,0.243,0.322,0.279,0.601,0.297,32,4,25,363,268,7,4,0,8,0,47,916,0.231,0.301,0.265,0.253,0.268,2.5,3.6,19.5,1329,22.5,277,31.656,3.1,224,25.6,299.0,7.0,10.0,54.0,15.4,0.583,24336,8.4305,-9.2342,4.7662,67.7476,"Rojas, Johan",8.0,Johan Rojas,SV,IR,OBS
Mauricio Dubon,2024,R,HOU,29,1.1577,137,428,643289,2024,402,108,25,0,4,55,16,12.9,3.7,0.269,0.361,0.296,0.657,0.299,47,2,3,385,165,6,2,0,3,5,45,1037,0.249,0.332,0.286,0.272,0.282,2.8,3.1,25.1,1450,18.8,355,42.844,3.7,249,31.0,273.0,10.0,11.0,89.0,9.2,0.563,16530,5.0353,-8.0917,-1.5937,86.7304,"Dubón, Mauricio",7843956.0,Mauricio Dubon,RAC,SSF,STL
