,Name,Pos,Age,PA,R,RBI,2B,HR,SB,CS,bb%,k%,RC27,OPS,XWOBA,O,Def,BsR,WAR,wRC+,RJML,SSBL,CJPL,key_FG,avgL,obpL,slgL,opsL,avgR,obpR,slgR,opsR
0,Aaron Judge,897,32,704,122,144,36,58,10,0,18.9,24.3,12.3,1.159,0.484,730,-9.8786,-0.4796,11.2061,218.4324,CAM,TT,ILK,15640,0.311,0.505,0.735,1.24,0.326,0.441,0.691,1.132
1,Bobby Witt Jr.,6,24,709,125,109,45,32,31,12,8.0,15.0,9.0,0.977,0.413,656,17.3413,4.5217,10.3576,167.5445,RAC,IR,GAP,25764,0.316,0.35,0.496,0.846,0.336,0.399,0.612,1.011
2,Shohei Ohtani*,0,29,731,134,130,38,54,59,4,11.1,22.2,10.3,1.036,0.448,756,-17.1759,9.7708,9.0749,181.1447,HIG,TT,WWL,19755,0.288,0.349,0.518,0.867,0.322,0.411,0.717,1.128
3,Juan Soto*,97,25,713,128,109,31,41,7,4,18.1,16.7,9.3,0.988,0.463,650,-6.0094,-3.8174,8.1493,179.637,ALA,ECB,SEA,20123,0.278,0.416,0.55,0.966,0.293,0.421,0.578,0.999
4,Gunnar Henderson*,6,23,719,118,92,31,37,21,4,10.8,22.1,7.6,0.893,0.379,606,4.598,3.988,8.0134,154.7482,PR,NB,MMA,26289,0.257,0.359,0.47,0.829,0.291,0.367,0.553,0.92
5,Francisco Lindor#,6,30,689,105,88,39,33,29,4,8.1,18.4,6.6,0.844,0.382,555,17.3753,3.7708,7.6047,136.3242,CK,HOB,BAB,12916,0.263,0.324,0.545,0.869,0.277,0.351,0.485,0.836
6,Jarren Duran*,87,27,735,111,75,48,21,34,7,7.3,21.8,6.4,0.834,0.346,577,7.959,8.158,6.7157,129.0248,DAY,WC,JFS,24617,0.255,0.319,0.346,0.665,0.298,0.352,0.557,0.909
7,Jose Ramirez#,5,31,682,114,118,39,39,41,7,7.9,12.0,6.6,0.872,0.332,606,1.4125,6.292,6.4699,141.2759,RAM,ECB,FMB,13510,0.348,0.385,0.695,1.08,0.254,0.317,0.48,0.797
8,Elly De La Cruz#,6,22,696,105,76,36,25,67,16,9.9,31.3,5.7,0.81,0.331,563,16.2244,7.2301,6.35,117.8483,CC,WC,RAH,26668,0.224,0.307,0.354,0.661,0.275,0.353,0.523,0.876
9,Ketel Marte#,4,30,583,93,95,23,36,7,1,11.1,18.2,7.8,0.932,0.395,501,4.6667,0.9686,6.2729,151.1926,RAM,MVR,ILK,13613,0.342,0.401,0.679,1.08,0.26,0.356,0.486,0.842
10,Vladimir Guerrero Jr.,35,25,697,98,103,44,30,2,2,10.3,13.8,8.1,0.94,0.41,567,-16.6773,-5.5545,5.4591,165.0265,RM,PP,ANG,19611,0.308,0.417,0.538,0.955,0.327,0.391,0.545,0.936
11,Matt Chapman,5,31,647,98,78,39,27,15,2,9.9,24.4,5.3,0.791,0.344,485,11.6169,3.7034,5.4501,120.56,ROC,SIP,OCG,16505,0.254,0.352,0.465,0.817,0.245,0.32,0.462,0.782
12,Cal Raleigh#,2,27,628,73,100,16,34,6,1,11.1,28.0,4.8,0.748,0.347,451,21.7607,-2.4213,5.4261,117.0708,WHI,SR,MBL,21534,0.183,0.251,0.444,0.695,0.234,0.335,0.433,0.768
13,William Contreras,2,26,679,99,92,37,23,9,2,11.5,20.5,6.1,0.831,0.36,514,7.524,-2.5871,5.4222,130.734,HOM,KR,BAB,20503,0.312,0.402,0.486,0.888,0.271,0.353,0.459,0.812
14,Jackson Merrill*,8,21,593,77,90,31,24,16,3,4.9,17.0,6.2,0.826,0.373,465,6.2845,3.7481,5.267,129.9237,avail,rook,rook,29490,0.24,0.276,0.37,0.646,0.311,0.344,0.547,0.891
15,Yordan Alvarez*,7,27,635,88,86,34,35,6,0,10.9,15.0,8.4,0.959,0.416,523,-16.6432,-2.8781,5.2591,167.8246,DV,CW,ANG,19556,0.362,0.411,0.617,1.028,0.28,0.383,0.541,0.924
16,Bryce Harper*,3,31,631,85,87,42,30,7,4,12.0,21.9,6.8,0.898,0.361,495,-4.2964,-0.4716,5.1829,144.9805,HIG,HOB,ILK,11579,0.301,0.387,0.52,0.907,0.277,0.365,0.528,0.893
17,Brent Rooker,79,29,614,82,112,26,39,11,3,9.6,28.8,7.9,0.927,0.383,529,-16.5793,0.8333,5.1045,163.6351,GNB,WAU,WAW,19627,0.289,0.362,0.587,0.949,0.294,0.366,0.555,0.921
18,Marcell Ozuna,0,33,688,96,102,31,39,1,0,10.8,24.7,7.4,0.924,0.405,546,-17.284,-4.5852,4.769,155.9579,HOM,ECB,MMA,10324,0.319,0.407,0.496,0.903,0.297,0.37,0.561,0.931
19,Willy Adames,6,28,688,93,112,33,32,21,4,10.8,25.1,5.5,0.793,0.344,535,5.5753,1.2337,4.7201,119.4299,ROC,CB,ANG,15986,0.191,0.307,0.316,0.623,0.271,0.34,0.511,0.851
20,Corey Seager*,6,30,533,68,74,21,30,1,1,9.9,18.0,6.6,0.865,0.394,403,6.7328,-5.2157,4.5312,140.3223,PR,NB,GAP,13624,0.248,0.276,0.4,0.676,0.291,0.383,0.561,0.944
21,Mookie Betts,694,31,516,75,75,24,19,16,2,11.8,11.0,6.9,0.863,0.363,418,-0.6721,0.5934,4.382,141.0437,CK,TBD,ANG,13611,0.308,0.377,0.476,0.853,0.28,0.37,0.498,0.868
22,Patrick Bailey#,2,25,448,46,46,16,8,4,0,8.7,22.3,3.5,0.637,0.321,254,36.775,0.4922,4.3387,81.0069,HAL,SSF,MMA,27478,0.18,0.237,0.213,0.45,0.25,0.314,0.375,0.689
23,Dansby Swanson,6,30,593,82,66,27,16,19,3,9.1,24.3,4.5,0.702,0.324,405,18.8202,4.441,4.3352,98.5465,DV,CW,MBL,18314,0.318,0.387,0.5,0.887,0.222,0.292,0.361,0.653
24,Jurickson Profar#,73,31,668,94,85,29,24,10,3,11.4,15.1,6.4,0.839,0.364,506,-11.18,-0.7819,4.2961,139.2038,GRF,SSF,WAW,10815,0.3,0.385,0.5,0.885,0.273,0.378,0.444,0.822
25,Carlos Correa,6,29,367,55,54,20,14,0,0,10.9,16.6,7.8,0.905,0.359,298,6.3763,-0.5681,4.2702,155.501,PR,TT,ILK,14162,0.312,0.386,0.584,0.97,0.31,0.388,0.496,0.884
26,Kyle Tucker*,9,27,339,56,49,13,23,11,0,16.5,15.9,9.5,0.993,0.407,307,-1.4451,-0.3251,4.1885,179.9918,DV,SIP,MMA,18345,0.262,0.374,0.466,0.84,0.305,0.427,0.655,1.082
27,Marcus Semien,4,33,718,101,74,27,23,8,3,8.9,14.6,4.3,0.699,0.319,469,15.8427,1.4233,4.1678,98.9722,GRF,SLB,OCG,12533,0.266,0.351,0.422,0.773,0.228,0.294,0.381,0.675
28,Steven Kwan*,7,26,540,83,44,16,14,12,5,9.8,9.4,6.0,0.793,0.334,379,2.8593,0.1952,4.1426,130.8449,SV,SR,GDJ,24610,0.319,0.392,0.447,0.839,0.28,0.358,0.416,0.774
29,Rafael Devers*,5,27,601,87,83,34,28,3,0,11.1,24.5,6.5,0.87,0.366,473,-2.5945,-0.8911,4.128,134.062,ALA,TBD,SEA,17350,0.24,0.304,0.382,0.686,0.293,0.385,0.601,0.986
30,Alex Bregman,5,30,634,79,75,30,26,3,1,6.9,13.6,4.9,0.768,0.321,429,8.1059,-2.3131,4.1264,117.961,DAY,MVR,LWC,17678,0.224,0.287,0.424,0.711,0.274,0.327,0.464,0.791
31,Freddie Freeman*,3,34,638,81,89,35,22,9,2,12.2,15.7,6.7,0.854,0.37,488,-9.0554,-1.4379,4.0467,137.2666,SV,TBD,NYZ,5361,0.25,0.335,0.427,0.762,0.3,0.401,0.503,0.904
32,Corbin Carroll*,89,23,684,121,74,22,22,35,8,10.7,19.0,5.1,0.75,0.329,535,-0.2114,11.1079,4.0416,106.6772,VAN,HOB,SEA,25878,0.219,0.296,0.41,0.706,0.236,0.333,0.436,0.769
33,Colton Cowser*,789,24,561,77,69,24,24,9,4,9.3,30.7,5.0,0.768,0.331,400,6.5338,1.1219,4.0193,119.57,GH,HOB,WWL,29591,0.224,0.281,0.381,0.662,0.249,0.335,0.471,0.806
34,Riley Greene*,789,23,584,82,74,27,24,4,2,11.0,26.7,6.4,0.827,0.357,446,-3.9758,-0.15,3.998,134.9764,HAR,SIP,MBL,25976,0.213,0.265,0.433,0.698,0.28,0.377,0.496,0.873
35,Jazz Chisholm Jr.*,854,26,621,74,73,21,24,40,10,8.5,24.5,5.2,0.76,0.318,449,4.9975,6.1656,3.9899,109.5636,HAL,KR,ANG,20454,0.249,0.319,0.386,0.705,0.26,0.326,0.461,0.787
36,Trea Turner,6,31,539,88,62,25,21,19,4,5.0,18.2,5.8,0.807,0.322,404,2.0824,2.633,3.9392,124.0145,HAL,KR,OBS,16252,0.303,0.363,0.526,0.889,0.292,0.326,0.445,0.771
37,Jackson Chourio,79,20,573,80,79,29,21,22,7,6.8,21.1,5.5,0.791,0.33,434,3.3238,3.9528,3.9359,117.1535,avail,rook,rook,28806,0.267,0.33,0.366,0.696,0.278,0.326,0.507,0.833
38,Jose Altuve,4,34,682,94,65,31,20,22,7,6.9,17.4,5.6,0.789,0.318,469,-5.3511,-0.7219,3.9353,127.481,CC,NB,NYZ,5417,0.37,0.429,0.539,0.968,0.27,0.324,0.407,0.731
39,Nico Hoerner,46,27,641,86,48,35,7,31,6,6.9,10.3,4.8,0.708,0.314,417,9.3711,4.9996,3.9224,102.9546,CK,IR,MMA,21479,0.328,0.377,0.422,0.799,0.258,0.324,0.359,0.683
40,Julio Rodriguez,8,23,613,76,68,17,20,24,5,6.2,25.4,4.8,0.734,0.346,409,3.6619,1.9591,3.8248,115.6546,DAY,WC,OBS,23697,0.268,0.317,0.418,0.735,0.275,0.327,0.406,0.733
41,Eugenio Suarez,5,32,640,90,101,28,30,2,1,7.7,27.5,5.3,0.788,0.332,478,4.9125,-1.137,3.7801,115.0466,DV,SR,NYZ,12552,0.256,0.34,0.452,0.792,0.256,0.309,0.476,0.785
42,Brenton Doyle,8,26,603,82,72,24,23,30,5,7.6,25.4,4.9,0.763,0.333,438,12.1445,5.3495,3.6799,97.3082,GH,avail,MBL,25479,0.257,0.305,0.421,0.726,0.262,0.322,0.456,0.778
43,Byron Buxton,8,30,388,62,56,27,18,7,2,5.2,25.5,6.6,0.859,0.358,319,1.3387,2.7735,3.6719,141.6913,RAM,SLB,LWC,14161,0.298,0.359,0.5,0.859,0.272,0.326,0.533,0.859
44,Ezequiel Tovar,6,22,695,83,78,45,26,6,5,3.3,28.8,4.5,0.764,0.289,459,16.185,0.0627,3.6307,94.9045,SV,SIP,GAP,24064,0.259,0.303,0.456,0.759,0.273,0.291,0.474,0.765
45,Ian Happ#,7,29,657,89,86,34,25,13,2,12.2,25.6,5.6,0.782,0.349,491,-5.4858,1.2646,3.5882,121.7504,ALA,IR,STL,17919,0.238,0.304,0.415,0.719,0.244,0.353,0.45,0.803
46,Masyn Winn,6,22,637,85,57,32,15,11,5,6.4,17.1,4.9,0.73,0.296,421,8.4199,2.2155,3.5618,103.4685,HOM,ECB,LWC,27479,0.253,0.318,0.5,0.818,0.274,0.312,0.379,0.691
47,Manny Machado,5,31,643,77,105,30,29,11,2,7.0,19.3,4.9,0.797,0.338,463,-3.4753,-0.3617,3.5582,121.9526,BRA,OCS,MMA,11493,0.256,0.338,0.465,0.803,0.28,0.321,0.474,0.795
48,Seiya Suzuki,97,29,585,74,73,27,21,16,6,10.8,27.4,6.7,0.848,0.348,446,-10.727,-0.7731,3.5542,137.7878,RM,PP,SEA,30116,0.274,0.384,0.444,0.828,0.286,0.36,0.494,0.854
49,Oneil Cruz*,68,25,599,72,76,34,21,22,1,8.5,30.2,5.4,0.773,0.342,437,1.6502,5.2817,3.5058,109.8685,GH,VM,STL,21711,0.224,0.266,0.42,0.686,0.271,0.344,0.46,0.804
50,Alec Bohm,53,27,606,62,97,44,15,5,2,6.6,14.2,5.0,0.78,0.345,423,5.566,-2.628,3.4902,114.7347,PR,TT,NYZ,21618,0.287,0.335,0.473,0.808,0.276,0.33,0.437,0.767
51,Teoscar Hernandez,79,31,652,84,99,32,33,12,3,8.1,28.8,6.3,0.84,0.348,508,-14.7815,0.5935,3.4787,133.5536,HAL,SLB,HAM,13066,0.29,0.357,0.574,0.931,0.265,0.333,0.475,0.808
52,Zach Neto,6,23,602,70,77,34,23,30,10,6.5,23.3,4.6,0.761,0.318,429,2.0413,1.7823,3.4716,114.1176,DAY,WAU,OBS,31347,0.374,0.422,0.598,1.02,0.218,0.293,0.405,0.698
53,Austin Wells*,2,24,414,42,55,18,13,1,2,11.4,21.0,4.3,0.717,0.341,267,18.8994,-1.8211,3.4442,105.2153,TB,CW,GDJ,27562,0.197,0.299,0.227,0.526,0.236,0.327,0.434,0.761
54,Kyle Schwarber*,7,31,692,110,104,22,38,5,3,15.3,28.5,6.6,0.851,0.38,561,-16.7296,-2.3928,3.4201,135.2821,HAR,VM,RAH,16478,0.3,0.407,0.49,0.897,0.218,0.342,0.482,0.824
55,Anthony Volpe,6,23,689,90,60,27,12,28,7,6.1,22.6,3.8,0.657,0.28,430,15.7894,5.1005,3.3825,85.913,TB,SIP,JFS,27647,0.246,0.305,0.354,0.659,0.242,0.288,0.368,0.656
56,Isaac Paredes,53,25,641,64,80,25,19,1,1,11.9,16.4,4.7,0.739,0.308,414,-0.1599,-0.7938,3.3582,116.7184,HIG,NB,GDJ,20036,0.295,0.377,0.489,0.866,0.218,0.336,0.36,0.696
57,Anthony Santander#,9,29,665,91,102,25,44,2,0,8.7,19.4,5.4,0.814,0.328,508,-9.4739,-2.7023,3.3278,129.2195,WHI,VM,NYZ,14551,0.225,0.306,0.488,0.794,0.239,0.309,0.513,0.822
58,Daulton Varsho*,879,27,513,73,58,21,18,10,2,9.4,26.7,4.3,0.7,0.265,359,13.7701,1.5976,3.303,99.172,GRF,MVR,MMA,19918,0.287,0.356,0.457,0.813,0.195,0.277,0.395,0.672
59,Brendan Donovan*,745,27,652,65,73,34,14,5,5,7.2,12.4,5.4,0.759,0.337,425,-0.0756,-1.688,3.2473,114.7446,DAY,CB,FMB,24679,0.259,0.314,0.356,0.67,0.286,0.354,0.443,0.797
60,Fernando Tatis Jr.,9,25,438,64,49,21,21,11,3,7.3,21.9,6.0,0.832,0.393,327,-1.519,0.0067,3.2333,134.8147,ALA,SSF,HAM,19709,0.224,0.356,0.327,0.683,0.293,0.334,0.547,0.881
61,Lawrence Butler*,9,23,451,63,57,24,22,18,0,7.8,23.9,5.7,0.807,0.347,345,-3.1104,3.8204,3.2321,130.1388,HAR,avail,avail,22542,0.291,0.315,0.523,0.838,0.255,0.318,0.482,0.8
62,Salvador Perez,23,34,652,58,104,28,27,0,0,6.7,19.8,5.1,0.786,0.362,442,3.3158,-5.626,3.1605,114.9857,GH,SLB,STL,7304,0.297,0.342,0.51,0.852,0.263,0.327,0.438,0.765
63,Nolan Arenado,5,33,635,70,71,23,16,2,2,6.9,14.5,4.4,0.719,0.297,387,9.5961,-2.0967,3.1339,102.2403,CC,WAU,JFS,9777,0.234,0.266,0.379,0.645,0.284,0.344,0.4,0.744
64,Joey Ortiz,564,25,511,58,60,25,11,11,6,11.0,20.2,4.5,0.727,0.307,342,11.1458,-0.1732,3.1305,103.8027,RM,avail,OCG,25493,0.22,0.336,0.441,0.777,0.246,0.326,0.38,0.706
65,J.J. Bleday*,8,26,642,74,60,43,20,2,3,10.4,19.5,5.0,0.761,0.319,425,-3.2935,-2.5592,3.1263,120.0449,BRA,MVR,GAP,26368,0.216,0.266,0.448,0.714,0.25,0.338,0.434,0.772
66,Victor Robles,897,27,295,44,28,20,4,34,2,7.1,18.0,7.2,0.814,0.328,246,-0.4832,6.9754,3.0936,140.718,PR,VM,RAH,18363,0.239,0.33,0.318,0.648,0.343,0.407,0.494,0.901
67,Willi Castro#,64785,27,635,89,60,31,12,14,9,8.0,23.6,4.5,0.716,0.322,422,3.9286,-0.6399,3.0913,107.5381,VAN,CW,ILK,17338,0.242,0.288,0.386,0.674,0.249,0.346,0.385,0.731
68,Mark Vientos,53,24,454,58,70,22,27,0,0,7.3,29.7,6.0,0.838,0.335,344,-1.9114,-1.982,3.086,134.9179,DV,avail,SEA,22184,0.3,0.338,0.546,0.884,0.251,0.314,0.502,0.816
69,Luis Garcia*,4,24,528,58,70,25,18,22,5,5.1,16.3,4.9,0.762,0.333,364,4.837,0.5548,3.082,110.8788,CAM,OCS,JFS,20391,0.259,0.289,0.352,0.641,0.288,0.326,0.469,0.795
70,Wilyer Abreu*,97,25,447,59,58,33,15,8,3,8.9,28.0,5.2,0.781,0.318,326,6.1741,1.2205,3.0454,114.0649,CK,IR,OBS,23772,0.18,0.254,0.279,0.533,0.266,0.334,0.491,0.825
71,Yainer Diaz,23,25,619,70,84,29,16,2,0,3.9,17.3,4.8,0.766,0.34,402,-1.4022,-1.5406,3.0437,116.6347,WHI,OCS,ANG,23003,0.306,0.341,0.465,0.806,0.297,0.318,0.432,0.75
72,Carlos Santana#,3,38,594,63,71,26,23,4,0,10.9,16.7,4.9,0.748,0.33,394,1.0219,-1.0913,3.0273,114.0993,RAM,SB,TBT,2396,0.286,0.356,0.578,0.934,0.219,0.318,0.358,0.676
73,Jake McCarthy*,897,26,495,66,56,13,8,25,6,6.3,15.8,5.4,0.749,0.314,356,2.4324,4.6161,3.0186,109.6248,RAC,WAU,OBS,21622,0.284,0.34,0.358,0.698,0.286,0.353,0.419,0.772
74,Christian Yelich*,7,32,315,44,42,12,11,21,1,12.7,18.4,8.8,0.91,0.376,271,-5.884,4.7009,3.0117,152.7114,HIG,KR,OCG,11477,0.322,0.398,0.506,0.904,0.311,0.409,0.503,0.912
75,Tyler Stephenson,2,27,515,69,66,26,19,1,0,9.3,22.7,5.4,0.782,0.322,367,8.0426,-3.1879,3.0101,111.5983,SV,ECB,OCG,17988,0.244,0.319,0.488,0.807,0.263,0.345,0.428,0.773
76,Tyler Fitzgerald,68473,26,341,53,34,19,15,17,4,6.5,31.7,6.3,0.831,0.295,265,0.6592,3.8947,2.9796,131.737,WHI,avail,avail,26208,0.318,0.362,0.57,0.932,0.261,0.32,0.459,0.779
77,Joc Pederson*,0,32,449,62,64,17,23,7,4,12.2,23.4,7.7,0.908,0.381,364,-12.6389,-1.141,2.961,151.2166,DV,TBD,HAM,11899,0.219,0.405,0.344,0.749,0.281,0.392,0.531,0.923
78,Christian Walker,3,33,552,72,84,26,26,2,2,10.0,24.1,5.4,0.803,0.354,407,0.5448,-3.1861,2.9336,119.1877,STE,MVR,STL,13419,0.275,0.35,0.406,0.756,0.24,0.329,0.493,0.822
79,Josh H. Smith*,5679,26,592,67,62,30,13,11,2,7.8,20.4,5.0,0.731,0.304,391,1.7775,-0.5547,2.9206,110.8119,HAL,avail,avail,26396,0.286,0.345,0.429,0.774,0.249,0.335,0.383,0.718
80,Adley Rutschman#,2,26,638,68,79,21,19,1,0,9.1,16.1,4.5,0.709,0.319,403,6.6673,-2.9191,2.8626,103.7032,CK,MVR,BAB,26288,0.329,0.39,0.512,0.902,0.219,0.289,0.342,0.631
81,Wyatt Langford,78,22,557,74,74,25,16,19,3,9.2,20.6,5.0,0.74,0.333,404,-1.4787,4.331,2.8492,109.6804,avail,rook,rook,33333,0.242,0.36,0.537,0.897,0.255,0.316,0.386,0.702
82,Miguel Rojas,645,35,337,41,36,21,6,8,2,6.8,10.1,4.9,0.747,0.314,223,11.7522,-0.3336,2.8155,111.4688,GH,avail,SEA,7802,0.26,0.316,0.375,0.691,0.296,0.348,0.429,0.777
83,Alejandro Kirk,2,25,386,23,54,19,5,0,0,9.1,13.2,3.9,0.678,0.324,220,20.3365,-3.481,2.797,94.0223,ROC,IR,ILK,22581,0.228,0.29,0.402,0.692,0.262,0.329,0.343,0.672
84,Jonathan India,4,27,637,84,58,28,15,13,2,12.6,19.6,5.1,0.749,0.354,428,-0.0098,-0.0135,2.7834,107.5658,HIG,HOB,ILK,21523,0.277,0.397,0.418,0.815,0.237,0.343,0.383,0.726
85,Jeremy Pena,6,26,650,78,70,28,15,20,6,3.8,17.1,4.1,0.702,0.313,411,3.052,2.2014,2.774,99.9193,STE,WAU,LWC,21636,0.306,0.333,0.478,0.811,0.252,0.299,0.364,0.663
86,Andres Gimenez*,4,25,633,64,63,22,9,30,5,4.1,15.3,3.6,0.638,0.299,374,15.7194,2.2151,2.7631,83.0442,SV,PP,GDJ,19950,0.239,0.273,0.301,0.574,0.257,0.308,0.355,0.663
87,Jordan Westburg,546,25,447,57,63,26,18,6,3,4.9,21.7,5.3,0.793,0.355,330,-1.4861,0.291,2.7502,125.2714,DV,WAU,STL,27815,0.23,0.294,0.45,0.744,0.275,0.318,0.491,0.809
88,Nathaniel Lowe*,3,28,565,62,69,16,16,2,0,12.6,22.1,5.5,0.762,0.329,378,-4.9345,-0.9679,2.7408,121.0502,HAR,VM,LWC,19566,0.292,0.396,0.4,0.796,0.257,0.349,0.402,0.751
89,Taylor Ward,7,30,663,73,75,26,25,6,4,9.5,24.6,4.8,0.749,0.351,433,-1.4204,-2.5693,2.7242,110.8995,STE,VM,BAB,17548,0.325,0.377,0.496,0.873,0.226,0.31,0.408,0.718
90,Jacob Young,8,24,521,75,36,24,3,33,10,5.8,19.6,3.6,0.647,0.29,326,14.1591,4.1856,2.7178,84.9485,RAC,avail,avail,29931,0.283,0.34,0.352,0.692,0.245,0.306,0.322,0.628
91,Pete Crow-Armstrong*,8,22,410,46,47,13,10,27,3,5.1,23.9,4.0,0.67,0.285,281,14.0806,4.9213,2.7153,87.0225,GH,SIP,HAM,27769,0.253,0.264,0.333,0.597,0.232,0.293,0.4,0.693
92,Will Smith,2,29,544,77,75,24,20,1,1,9.4,19.3,5.0,0.76,0.333,390,2.3918,-1.2096,2.7057,110.6103,RAC,HOB,OBS,19197,0.258,0.357,0.515,0.872,0.244,0.315,0.401,0.716
93,Brandon Nimmo*,78,31,663,87,88,25,23,15,0,11.6,23.8,4.9,0.726,0.337,478,-4.9207,2.4412,2.6861,108.5263,GNB,CB,ILK,12927,0.248,0.324,0.399,0.723,0.215,0.329,0.4,0.729
94,Willson Contreras,2,32,358,48,36,17,15,4,1,12.6,26.8,6.6,0.848,0.366,263,-1.8814,-1.6989,2.6425,140.284,GNB,WAU,RAH,11609,0.267,0.389,0.493,0.882,0.261,0.377,0.46,0.837
95,Ha-seong Kim,6,28,470,60,47,16,11,22,5,12.3,16.4,4.4,0.7,0.316,318,7.0611,2.3389,2.6389,100.8933,SV,PP,GDJ,27506,0.248,0.351,0.381,0.732,0.228,0.322,0.366,0.688
96,Matt Olson*,3,30,685,78,98,37,29,0,0,10.4,24.8,5.3,0.79,0.342,486,-8.4453,-3.5828,2.6044,118.2294,CK,SIP,NYZ,14344,0.263,0.321,0.515,0.836,0.24,0.337,0.434,0.771
97,Jose Iglesias,456,34,291,38,25,16,4,5,2,4.1,13.4,6.8,0.829,0.312,199,2.3191,-0.3601,2.5745,140.2658,avail,rook,rook,10231,0.402,0.455,0.543,0.998,0.303,0.342,0.399,0.741
98,Matt Vierling,8597,27,567,80,57,28,16,6,1,7.2,21.3,4.7,0.735,0.313,380,-2.0779,2.7444,2.5741,108.2586,RAC,OCS,STL,21558,0.275,0.329,0.391,0.72,0.25,0.306,0.434,0.74
99,Gabriel Moreno,2,24,351,39,45,18,5,3,1,11.7,14.8,4.7,0.733,0.329,230,9.723,0.0662,2.5058,106.6386,VAN,OCS,GDJ,22664,0.302,0.367,0.415,0.782,0.246,0.346,0.362,0.708
100,Tyler O'Neill,79,29,473,74,61,18,31,4,0,11.2,33.6,5.8,0.847,0.342,365,-7.6302,-0.7508,2.495,130.9929,BRA,PP,HAM,15711,0.312,0.429,0.75,1.179,0.208,0.29,0.403,0.693
101,Otto Lopez,4657,25,434,49,39,23,6,20,4,5.8,17.3,4.0,0.69,0.316,265,12.198,2.3738,2.4929,90.587,avail,rook,rook,19608,0.231,0.259,0.3,0.559,0.289,0.338,0.414,0.752
102,Brice Turang*,4,24,619,72,57,24,7,50,6,8.1,17.0,4.3,0.665,0.298,410,5.6326,7.2427,2.4894,87.3254,STE,SB,HAM,22186,0.237,0.289,0.297,0.586,0.259,0.323,0.363,0.686
103,Michael Busch*,34,26,567,73,65,28,21,2,1,11.1,28.6,5.3,0.775,0.321,394,-6.867,-1.5979,2.3826,118.6643,GH,HOB,MMA,26319,0.258,0.33,0.382,0.712,0.246,0.336,0.452,0.788
104,Dylan Moore,65473,31,441,53,42,23,10,32,6,12.0,27.9,4.3,0.687,0.302,306,1.5301,4.1218,2.377,105.2803,HAL,SIP,avail,18042,0.229,0.352,0.41,0.762,0.183,0.299,0.339,0.638
105,Brandon Marsh*,789,26,476,55,60,17,16,19,3,10.5,32.4,5.3,0.747,0.328,341,-0.5591,2.9219,2.371,108.3369,VAN,WAU,GDJ,20202,0.192,0.27,0.282,0.552,0.262,0.342,0.45,0.792
106,Austin Riley,5,27,469,63,56,26,19,0,0,7.9,25.2,5.4,0.783,0.366,332,-0.4305,-1.1876,2.3684,115.9304,VAN,VM,BAB,18360,0.235,0.333,0.451,0.784,0.263,0.318,0.464,0.782
107,Kerry Carpenter*,97,26,296,37,57,16,18,0,2,7.4,25.3,7.1,0.932,0.385,250,-5.5153,-1.7108,2.3583,159.6268,GNB,WC,BAB,25961,0.107,0.194,0.214,0.408,0.305,0.363,0.631,0.994
108,Max Muncy*,5,33,293,47,48,17,15,1,0,15.4,26.3,6.7,0.852,0.353,247,1.0968,-0.4991,2.3289,134.8066,GNB,CW,OBS,13301,0.172,0.289,0.453,0.742,0.254,0.382,0.509,0.891
109,Cedric Mullins*,8,29,499,69,54,16,18,32,6,8.2,19.6,4.7,0.71,0.293,358,-0.2677,3.2682,2.3037,104.6811,CAM,IR,WAW,17929,0.196,0.228,0.278,0.506,0.245,0.325,0.441,0.766
110,Luke Raley*,7398,29,455,58,58,19,22,11,2,5.9,29.7,5.5,0.783,0.32,337,-8.4691,0.3929,2.2752,128.6983,ROC,KR,HAM,19354,0.189,0.259,0.311,0.57,0.255,0.333,0.497,0.83
111,Heliot Ramos,879,24,518,54,72,23,22,6,1,7.1,26.1,5.2,0.791,0.34,359,-6.926,-0.6273,2.2581,119.6472,RAM,avail,avail,22515,0.37,0.439,0.75,1.189,0.24,0.286,0.387,0.673
112,Josh Naylor*,3,27,633,84,108,27,31,6,2,9.2,16.6,4.8,0.776,0.334,470,-9.9542,-2.5354,2.2572,118.2895,SV,HOB,BAB,18839,0.224,0.305,0.41,0.715,0.251,0.325,0.474,0.799
113,Jake Rogers,2,29,337,43,36,16,10,1,0,6.5,29.4,2.9,0.607,0.3,198,22.4614,-0.6397,2.2517,70.816,TB,SLB,NYZ,19452,0.169,0.266,0.241,0.507,0.207,0.251,0.392,0.643
114,Brandon Lowe*,43,29,425,56,58,19,21,5,1,7.8,26.4,5.1,0.784,0.35,310,-4.4357,0.7337,2.2496,123.2757,ALA,WAU,SEA,18882,0.265,0.306,0.529,0.835,0.24,0.312,0.461,0.773
115,Cody Bellinger*,893,28,569,72,78,23,18,9,2,7.9,15.6,4.9,0.751,0.305,397,-4.9503,1.4161,2.2108,108.8095,HOM,TBD,MMA,15998,0.298,0.305,0.441,0.746,0.251,0.333,0.42,0.753
116,Pete Alonso,3,29,695,91,88,31,34,3,0,10.1,24.7,5.3,0.788,0.345,496,-16.2911,-4.1161,2.1946,122.8623,HOM,TBD,WWL,19251,0.237,0.335,0.468,0.803,0.241,0.328,0.456,0.784
